,close,volume,boll_upper,expma_expma,ma_ma
2021-12-21 14:31:00,8.57,295300.0,8.7156407,8.6290444,8.6812
2021-12-21 14:32:00,8.57,344600.0,8.7154005,8.6234212,8.6774
2021-12-21 14:33:00,8.55,244800.0,8.7148629,8.6164287,8.673
2021-12-21 14:34:00,8.57,616200.0,8.7107041,8.6120069,8.6692
2021-12-21 14:35:00,8.57,222100.0,8.7036558,8.6080062,8.6654
2021-12-21 14:36:00,8.57,223000.0,8.6951891,8.6043866,8.6616
2021-12-21 14:37:00,8.56,481200.0,8.6879869,8.6001593,8.6576
2021-12-21 14:38:00,8.56,311400.0,8.683154,8.5963346,8.654
2021-12-21 14:39:00,8.59,453100.0,8.6779621,8.5957313,8.6512
2021-12-21 14:40:00,8.6,360800.0,8.6705439,8.5961379,8.6488
2021-12-21 14:41:00,8.59,553500.0,8.6640964,8.5955533,8.646
2021-12-21 14:42:00,8.59,151800.0,8.6587878,8.5950244,8.6436
2021-12-21 14:43:00,8.57,277600.0,8.6562913,8.5926411,8.6408
2021-12-21 14:44:00,8.59,655000.0,8.6533068,8.5923896,8.6382
2021-12-21 14:45:00,8.6,343400.0,8.6504978,8.5931144,8.636
2021-12-21 14:46:00,8.57,225000.0,8.6410779,8.590913,8.6336
2021-12-21 14:47:00,8.57,344100.0,8.6349163,8.5889213,8.6308
2021-12-21 14:48:00,8.56,539450.0,8.6303631,8.5861669,8.6278
2021-12-21 14:49:00,8.59,548900.0,8.6251047,8.586532,8.6254
2021-12-21 14:50:00,8.58,305000.0,8.6238769,8.5859099,8.6228
2021-12-21 14:51:00,8.59,520800.0,8.6230362,8.5862994,8.62
2021-12-21 14:52:00,8.62,403320.0,8.6246685,8.589509,8.6182
2021-12-21 14:53:00,8.63,212380.0,8.6292719,8.5933653,8.6172
2021-12-21 14:54:00,8.68,746800.0,8.643751,8.6016162,8.6178
2021-12-21 14:55:00,8.65,385800.0,8.6474117,8.6062242,8.6172
2021-12-21 14:56:00,8.68,565800.0,8.6605113,8.6132505,8.6172
2021-12-21 14:57:00,8.68,600.0,8.6723741,8.6196076,8.617
2021-12-21 14:58:00,,0.0,,,
2021-12-21 14:59:00,,0.0,,,
2021-12-21 15:00:00,8.66,1871000.0,8.6791111,8.6234545,8.6164
